loan_status,previous_loan_defaults_on_file,loan_percent_income,loan_int_rate,person_income,loan_amnt,person_age,person_emp_exp,cb_person_cred_hist_length,credit_score
1,0,0.49,16.02,71948.0,35000.0,22.0,0,3.0,561
0,1,0.08,11.14,12282.0,1000.0,21.0,0,2.0,504
1,0,0.44,12.87,12438.0,5500.0,25.0,3,3.0,635
1,0,0.44,15.23,79753.0,35000.0,23.0,0,2.0,675
1,0,0.53,14.27,66135.0,35000.0,24.0,1,4.0,586
1,0,0.19,7.14,12951.0,2500.0,21.0,0,2.0,532
1,0,0.37,12.42,93471.0,35000.0,26.0,1,3.0,701
1,0,0.37,11.11,95550.0,35000.0,24.0,5,4.0,585
1,0,0.35,8.9,100684.0,35000.0,24.0,3,2.0,544
1,0,0.13,14.74,12739.0,1600.0,21.0,0,3.0,640
1,0,0.34,10.37,102985.0,35000.0,22.0,0,4.0,621
1,0,0.34,8.63,13113.0,4500.0,21.0,0,2.0,651
1,0,0.3,7.9,114860.0,35000.0,23.0,3,2.0,573
1,0,0.27,18.39,130713.0,35000.0,26.0,0,4.0,708
0,0,0.25,7.9,138998.0,35000.0,23.0,0,4.0,583
0,1,0.05,10.65,600891.0,30000.0,23.0,5,3.0,670
0,0,0.24,7.9,144943.0,35000.0,23.0,0,4.0,663
1,0,0.31,20.0,111369.0,35000.0,23.0,0,4.0,694
1,0,0.26,18.25,136628.0,35000.0,23.0,0,4.0,709
1,0,0.12,10.99,14283.0,1750.0,24.0,1,2.0,679
0,1,0.18,7.49,195718.0,35000.0,25.0,0,4.0,684
0,0,0.21,16.77,165792.0,34800.0,25.0,4,2.0,662
1,0,0.43,17.58,79255.0,34000.0,22.0,0,4.0,691
0,1,0.11,7.29,13866.0,1500.0,24.0,0,3.0,600
1,0,0.35,14.54,97420.0,33950.0,22.0,1,4.0,691
1,0,0.4,12.68,82443.0,33000.0,24.0,0,3.0,654
1,0,0.32,17.74,14288.0,4575.0,21.0,0,3.0,626
0,0,0.1,9.32,14293.0,1400.0,23.0,0,3.0,607
1,0,0.41,9.99,79054.0,32500.0,24.0,1,3.0,700
1,0,0.27,12.84,14988.0,4000.0,21.0,0,2.0,553
1,0,0.13,11.12,14858.0,2000.0,21.0,0,3.0,589
0,1,0.22,6.62,144855.0,32000.0,25.0,1,2.0,586
1,0,0.27,14.17,114645.0,31050.0,26.0,2,3.0,681
0,1,0.07,13.85,368115.0,24250.0,25.0,3,3.0,567
0,0,0.02,13.49,361076.0,7800.0,26.0,1,4.0,669
1,0,0.17,7.51,15150.0,2500.0,21.0,0,4.0,600
1,0,0.51,18.39,58868.0,30000.0,22.0,0,2.0,606
1,0,0.38,14.54,78026.0,30000.0,24.0,3,3.0,582
1,0,0.33,16.89,90785.0,30000.0,25.0,4,4.0,649
1,0,0.35,11.01,86811.0,30000.0,23.0,0,4.0,602
1,0,0.4,17.99,75503.0,30000.0,26.0,5,2.0,616
1,0,0.17,12.69,15082.0,2500.0,24.0,0,3.0,631
0,1,0.06,7.88,361293.0,20000.0,26.0,5,4.0,684
0,1,0.07,19.41,361547.0,24250.0,23.0,0,2.0,637
0,0,0.03,10.38,360680.0,10000.0,26.0,5,4.0,649
0,1,0.07,15.33,360977.0,25000.0,26.0,5,3.0,695
0,0,0.05,16.45,361244.0,18000.0,25.0,2,3.0,620
1,0,0.31,7.49,98230.0,30000.0,26.0,2,3.0,622
1,0,0.37,12.69,80838.0,30000.0,22.0,0,3.0,645
1,0,0.28,6.62,107957.0,30000.0,26.0,2,3.0,654
1,0,0.32,11.01,94649.0,30000.0,24.0,2,4.0,624
1,0,0.32,18.62,94550.0,30000.0,23.0,1,3.0,570
1,0,0.27,15.23,111153.0,30000.0,23.0,3,3.0,648
1,0,0.26,10.65,117250.0,30000.0,23.0,0,2.0,652
0,0,0.21,7.9,144985.0,30000.0,25.0,3,4.0,559
0,1,0.03,15.96,337133.0,10000.0,26.0,7,3.0,623
0,1,0.06,11.48,333566.0,20000.0,26.0,2,3.0,602
0,0,0.1,11.01,333399.0,35000.0,23.0,1,4.0,609
0,1,0.19,7.29,154793.0,30000.0,25.0,1,4.0,573
0,1,0.11,11.01,15229.0,1750.0,24.0,1,3.0,631
0,1,0.19,5.99,158338.0,30000.0,21.0,0,4.0,623
0,1,0.04,11.58,331034.0,12000.0,22.0,0,2.0,602
1,0,0.03,11.01,316466.0,10000.0,26.0,6,4.0,579
1,0,0.09,15.7,267671.0,25000.0,25.0,0,2.0,582
1,0,0.34,15.99,85191.0,29100.0,22.0,0,3.0,700
0,0,0.1,14.84,15013.0,1500.0,22.0,0,3.0,688
0,1,0.09,10.99,313100.0,28000.0,26.0,3,3.0,607
0,1,0.06,14.42,311952.0,20000.0,25.0,0,2.0,661
0,1,0.03,6.99,306897.0,9600.0,24.0,5,2.0,562
0,1,0.08,13.49,301136.0,25000.0,25.0,0,4.0,664
1,0,0.2,11.01,15162.0,3000.0,25.0,1,3.0,564
1,0,0.41,11.01,69042.0,28000.0,22.0,0,2.0,598
1,0,0.2,13.61,15307.0,3000.0,21.0,0,3.0,557
1,0,0.35,7.9,79183.0,28000.0,23.0,0,2.0,677
1,0,0.27,7.49,102654.0,28000.0,26.0,4,3.0,690
1,0,0.4,7.51,15229.0,6100.0,26.0,1,3.0,599
1,0,0.26,9.91,106566.0,28000.0,22.0,0,3.0,604
1,0,0.28,13.48,15252.0,4200.0,21.0,0,4.0,663
1,0,0.31,7.14,15432.0,4750.0,22.0,3,2.0,601
1,0,0.28,15.99,100332.0,28000.0,24.0,1,4.0,634
0,0,0.06,12.98,300951.0,18000.0,24.0,2,3.0,671
0,0,0.23,12.69,121062.0,28000.0,25.0,1,3.0,622
0,1,0.21,8.9,133372.0,28000.0,26.0,1,2.0,538
1,0,0.17,11.01,15505.0,2700.0,26.0,0,4.0,587
1,0,0.21,11.01,130852.0,28000.0,22.0,0,4.0,683
0,1,0.15,11.11,182316.0,28000.0,23.0,0,2.0,634
1,0,0.33,11.01,83853.0,27600.0,24.0,3,2.0,690
1,0,0.21,15.68,15394.0,3250.0,21.0,0,3.0,518
1,0,0.32,13.06,85243.0,27500.0,22.0,0,3.0,583
0,1,0.09,11.01,288907.0,25000.0,22.0,2,2.0,617
1,0,0.3,15.62,89074.0,27050.0,26.0,4,2.0,668
1,0,0.27,13.49,100509.0,27000.0,24.0,2,2.0,673
1,0,0.3,11.01,88950.0,27000.0,24.0,3,3.0,706
1,0,0.34,11.71,75894.0,26000.0,23.0,1,2.0,536
0,1,0.18,12.69,145092.0,25600.0,23.0,0,3.0,557
0,1,0.1,13.57,15928.0,1600.0,24.0,1,3.0,689
1,0,0.35,10.99,73131.0,25475.0,22.0,3,3.0,681
0,1,0.07,14.27,281501.0,20000.0,25.0,4,4.0,623
0,1,0.07,8.88,281775.0,20000.0,24.0,0,4.0,595
0,1,0.08,12.18,281792.0,21600.0,26.0,1,3.0,584
1,0,0.04,14.42,266090.0,11900.0,25.0,4,3.0,669
0,1,0.09,14.17,279664.0,25000.0,26.0,3,2.0,642
0,1,0.13,13.99,277017.0,35000.0,25.0,4,4.0,622
1,0,0.25,10.99,100756.0,25300.0,23.0,0,3.0,689
1,0,0.12,5.42,16218.0,2000.0,22.0,1,4.0,614
